block_date,number_of_blocks
2015-10-01,5210
2015-10-02,5143
2015-10-03,5077
2015-10-04,4886
2015-10-05,5009
2015-10-06,4806
2015-10-07,5004
2015-10-08,5152
2015-10-09,4905
2015-10-10,4896
2015-10-11,5073
2015-10-12,5148
2015-10-13,5108
2015-10-14,4934
2015-10-15,4926
2015-10-16,4883
2015-10-17,5056
2015-10-18,4945
2015-10-19,4975
2015-10-20,4990
2015-10-21,4990
2015-10-22,4835
2015-10-23,5263
2015-10-24,5171
2015-10-25,5096
2015-10-26,4908
2015-10-27,5220
2015-10-28,4967
2015-10-29,5158
2015-10-30,5232
2015-10-31,5129
2016-10-01,5780
2016-10-02,6068
2016-10-03,6204
2016-10-04,6077
2016-10-05,5817
2016-10-06,5953
2016-10-07,5887
2016-10-08,6200
2016-10-09,6049
2016-10-10,6041
2016-10-11,6050
2016-10-12,5910
2016-10-13,6114
2016-10-14,6079
2016-10-15,6027
2016-10-16,6055
2016-10-17,5959
2016-10-18,6119
2016-10-19,5774
2016-10-20,6298
2016-10-21,6097
2016-10-22,6041
2016-10-23,5993
2016-10-24,6065
2016-10-25,6028
2016-10-26,6096
2016-10-27,6018
2016-10-28,5943
2016-10-29,5668
2016-10-30,6059
2016-10-31,6092
2017-10-01,2862
2017-10-02,2842
2017-10-03,2862
2017-10-04,2886
2017-10-05,2946
2017-10-06,2848
2017-10-07,2848
2017-10-08,2879
2017-10-09,2882
2017-10-10,2915
2017-10-11,2915
2017-10-12,2899
2017-10-13,2891
2017-10-14,2887
2017-10-15,2925
2017-10-16,4554
2017-10-17,6050
2017-10-18,6221
2017-10-19,6241
2017-10-20,6237
2017-10-21,6229
2017-10-22,6280
2017-10-23,6254
2017-10-24,6248
2017-10-25,6176
2017-10-26,6157
2017-10-27,6229
2017-10-28,6240
2017-10-29,6194
2017-10-30,6072
2017-10-31,6275
2018-10-01,6095
2018-10-02,6180
2018-10-03,6075
2018-10-04,6146
2018-10-05,6099
2018-10-06,6222
2018-10-07,6241
2018-10-08,6179
2018-10-09,6149
2018-10-10,6168
2018-10-11,6143
2018-10-12,6170
2018-10-13,6176
2018-10-14,6182
2018-10-15,6095
2018-10-16,6114
2018-10-17,6130
2018-10-18,6142
2018-10-19,6065
2018-10-20,6158
2018-10-21,6124
2018-10-22,6065
2018-10-23,6168
2018-10-24,6124
2018-10-25,6123
2018-10-26,6122
2018-10-27,6100
2018-10-28,6137
2018-10-29,6111
2018-10-30,6043
2018-10-31,6157
2019-10-01,6426
2019-10-02,6337
2019-10-03,6400
2019-10-04,6440
2019-10-05,6441
2019-10-06,6449
2019-10-07,6364
2019-10-08,6352
2019-10-09,6362
2019-10-10,6344
2019-10-11,6359
2019-10-12,6329
2019-10-13,6374
2019-10-14,6387
2019-10-15,6431
2019-10-16,6332
2019-10-17,6300
2019-10-18,6328
2019-10-19,6354
2019-10-20,6367
2019-10-21,6293
2019-10-22,6412
2019-10-23,6384
2019-10-24,6264
2019-10-25,6127
2019-10-26,6267
2019-10-27,6174
2019-10-28,6242
2019-10-29,6211
2019-10-30,6234
2019-10-31,6216
2020-10-01,6425
2020-10-02,6361
2020-10-03,6375
2020-10-04,6373
2020-10-05,6446
2020-10-06,6472
